original_name,ncbi_name,taxon_id,notes
"Fusobacterium nucleatum spp. polymorphum","Fusobacterium polymorphum",76857,"Renamed from Fusobacterium nucleatum subsp. polymorphum."
"Bacteroides denticanum","Bacteroides denticanium",28129,"Previously Bacteroides denticola."
"Prevotella buccae (294432)","Segatella buccae",28126,"A synonym is Prevotella buccae."
"Prevotella oralis (294434)","Hoylesella oralis",28137,"A synonym is Bacteroides oralis."
"Prevotella oris (294428)","Segatella oris",28135,"The number in parentheses is the NCBI ID."
"Uncultured human sp. (6671255)","uncultured bacterium",77133,"The term ""uncultured human sp."" is too general for a specific ID. The number in parentheses is an older ID for a specific environmental sample."
"Prevotella buccae HOT 560","Segatella buccae",28126,"This is likely a strain-level designation."
"Chloroflexi G1 sp. HOT 439 V1-2 347","Chloroflexi bacterium oral taxon 439",2026724,"The specific strain may not have a top-level ID."
"Eggerthia sp. V1-2 293","Eggerthia",1279384,"Insufficient information for specific identification."
"Fusobacterium nucleatum ss. vincentii HOT 200 V1-2 245","Fusobacterium vincentii",155615,"Likely a specific strain designation."
"Fusobacterium nucleatum ss. vincentii HOT 200 V1-2 68","Fusobacterium vincentii",155615,"Likely a specific strain designation."
"Mycoplasma faucium HOT 606 V1-2 192","Metamycoplasma faucium",56142,"Was renamed from Mycoplasma faucium."
"Mycoplasma salivarium HOT 754 V1-2 241","Metamycoplasma salivarium",2124,"Was renamed from Mycoplasma salivarium."
"Fusobacterium nucleatum subsp. vincentii","Fusobacterium vincentii",155615,"Renamed from Fusobacterium nucleatum subsp. vincentii."
"Synergistetes oral taxon 360","Synergistetes bacterium oral taxon 360",2053624,"This is an Oral Taxon. NCBI has family-level IDs."
"Synergistetes oral taxon 361","Synergistetes bacterium oral taxon 361",2053624,"This is an Oral Taxon. NCBI has family-level IDs."
"Synergistetes oral taxon 363","Synergistetes bacterium oral taxon 363",2053624,"This is an Oral Taxon. NCBI has family-level IDs."
"Synergistetes oral taxon 452","Synergistetes bacterium oral taxon 452",2053624,"This is an Oral Taxon. NCBI has family-level IDs."
"Fusobacterium nucleatum subsp. vincentii oral taxon 200","Fusobacterium vincentii",155615,"This is an Oral Taxon that corresponds to the subspecies."
"Synergistes unclassified","Unclassified Synergistes",2638338,"This is a general classification."
"Synergistes oral taxon 362","Unclassified Synergistes",2638338,"A strain-level designation corresponding to the genus."
"Synergistes oral taxon 363","Unclassified Synergistes",2638338,"A strain-level designation corresponding to the genus."
"Chloroflexi [G-1] Chloroflexi [G-1] sp. OT 439","Chloroflexi bacterium oral taxon 439",2026724,"The specific strain may not have a top-level ID."
"Mycoplasma faucium OT 606","Metamycoplasma faucium",56142,"Was renamed from Mycoplasma faucium."
"Synergistetes [G-3] Synergistetes [G-3] sp. OT 360","Synergistetes bacterium oral taxon 360",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] Synergistetes [G-3] sp. OT 362","Synergistetes bacterium oral taxon 362",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] Synergistetes [G-3] sp. OT 363","Synergistetes bacterium oral taxon 363",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] Synergistetes [G-3] sp. OT 361","Synergistetes bacterium oral taxon 361",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] sp. OT 362","Synergistetes bacterium oral taxon 362",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] sp. OT 363","Synergistetes bacterium oral taxon 363",2053624,"Oral Taxon at the family level."
"Synergistetes [G-3] sp. OT 361","Synergistetes bacterium oral taxon 361",2053624,"Oral Taxon at the family level."
"Prevotella endonticula","Prevotella denticola",28129,"Synonyms are sometimes used interchangeably."
"Propionibacterium propionicum","Arachnia propionica",1750,"Renamed from Propionibacterium propionicum."
"Sphaerocytophaga spp.","Capnocytophaga sp.",44737,"Likely refers to a genus or environmental sample."
"Synergistes sp. OT 170","Unclassified Synergistes",2638338,"A strain-level designation corresponding to the genus."
"Defluvibacter lusatiensis","Aquamicrobium lusatiense",52604,"ID for the species."
"Lactobacillus buchneri","Lentilactobacillus buchneri",1581,"Renamed from Lactobacillus buchneri."
"Moryella HOT.419","Moryella indoligenes",260172,"The specific strain may not have a top-level ID."
"Lactobacillus buchneri HOT 881","Lentilactobacillus buchneri",1581,"Likely a specific strain designation."
"Lactobacillus colehominis HOT 816","Limosilactobacillus coleohominis",59281,"The specific strain may not have a top-level ID."
"Fusobacterium nucleatum spp. vincentii (strain 49)","Fusobacterium vincentii",155615,"A specific strain designation corresponding to the species."
"Fusobacterium nucleatum subsp. polymorphum oral taxon 202","Fusobacterium polymorphum",76857,"This is an Oral Taxon that corresponds to the subspecies."
"Kingella Other","Kingella",32257,"Refers to the genus Kingella."
"- SR1 AF125207","Candidatus Absconditibacteriota",528025,"Refers to Candidate phylum SR1."
"Kingella sp.","Kingella",32257,"Refers to the genus Kingella."
"SR1 AF125207","Candidatus Absconditibacteriota",528025,"Refers to Candidate phylum SR1."
"Unclassified Xanthomonadaceae","unclassified Lysobacteraceae",29446,"Refers to unclassified members of the family."
