Original_Name,NCBI_Official_Taxon_Name
Actinomyces sp _ot 180,Actinomyces sp. oral taxon 180
Actinomyces sp _ot 525,Actinomyces sp. oral taxon 525
Arsenicococcus sp _ot 190,Arsenicococcus sp. oral taxon 190
Bacteroides zoogleoformans _ot 465,Bacteroides zoogleoformans
Bacteroidetes [G-3] sp _ot 280,Bacteroidetes bacterium oral taxon 280
Butyrivibrio sp _ot 094,Butyrivibrio sp. oral taxon 094
Chlamydophila pneumoniae _ot 733,Chlamydia pneumoniae
Clostridiales [F-2] [G-3] sp _ot 366,Clostridiales bacterium oral taxon 366
Lachnoanaerobaculum sp _ot 082,Lachnoanaerobaculum sp. oral taxon 82
Megasphaera sp _ot 841,Megasphaera sp. oral taxon 841
Mogibacterium timidum _ot 042,Mogibacterium timidum
Parvimonas micra _ot 111,Parvimonas micra
Peptostreptococcaceae [XI] [G-3] sp _ot 382,Peptostreptococcaceae bacterium oral taxon 382
Prevotella dentalis _ot 583,Prevotella dentalis
Prevotella oralis _ot 705,Prevotella oralis
Prevotella sp _ot 443,Prevotella sp. oral taxon 443
Prevotella sp _ot 515,Prevotella sp. oral taxon 515
Selenomonas sp _ot 388,Selenomonas sp. oral taxon 388
TM7 [G-1] sp _ot 346,Candidatus Saccharibacteria bacterium oral taxon 346
Veillonella sp _ot 780,Veillonella sp. oral taxon 780
Veillonellaceae [G-1] sp _ot 135,Veillonellaceae bacterium oral taxon 135
Spirochaetes,Spirochaetota
Synergistetes OTU 2P9 (clone 7.1),Synergistetes bacterium clone 2P9
"Synergistetes OTU 4P12 (clone W090, Fretibacterium fastidiosum)",Fretibacterium fastidiosum
Synergistetes OTU 6P18,Synergistetes bacterium clone 6P18
Synergistetes OTU 7P1 (clone BH007),Synergistetes bacterium clone 7P1
Synergistetes OTU 7P22,Synergistetes bacterium clone 7P22
Helicobacter pylori,Helicobacter pylori
Actinomyces naeslundii II (viscosus),Actinomyces naeslundii
Bacteroidetes clone AU126,Bacteroidetes bacterium clone AU126
Cryptobacterium curtum,Cryptobacterium curtum
Deferribacteres clones D084/BH017,Deferribacteres bacterium clone D084/BH017
Dialister strain GBA27,Dialister sp. strain GBA27
Eikenella corrodens,Eikenella corrodens
Eubacterium saphenum,Eubacterium saphenum
Filifactor alocis,Filifactor alocis
Megasphaera oral clone BB166,Megasphaera sp. clone BB166
OP11 clone X112,Uncultured bacterium clone X112
Peptostreptococcus micros,Parvimonas micra
Porphyromonas endodontalis,Porphyromonas endodontalis
Porphyromonas gingivalis,Porphyromonas gingivalis
Prevotella denticola,Prevotella denticola
Rothia dentocariosa,Rothia dentocariosa
Selenomonas sputigena,Selenomonas sputigena
Tannerella forsythensis (B. forsythus),Tannerella forsythia
TM7 clone I025,Candidatus Saccharibacteria bacterium clone I025
Treponema denticola,Treponema denticola
Treponema lecithinolyticum,Treponema lecithinolyticum
Treponema medium,Treponema medium
Treponema socranski,Treponema socranskii
Aggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans
Campylobacter rectus,Campylobacter rectus
Tannerella forsythia,Tannerella forsythia
Prevotella intermedia,Prevotella intermedia
Desulfobulbus sp. OT 041,Desulfobulbus sp. oral taxon 41
Candida parapsilosis,Candida parapsilosis
Aggregatibacter actinomycetemcomitans [aggressive periodontitis],Aggregatibacter actinomycetemcomitans
Porphyromonas gingivalis [aggressive periodontitis],Porphyromonas gingivalis
Prevotella intermedia [aggressive periodontitis],Prevotella intermedia
Tannerella forsythia [aggressive periodontitis],Tannerella forsythia
Treponema denticola [aggressive periodontitis],Treponema denticola
Porphyromonas gingivalis [chronic periodontitis],Porphyromonas gingivalis
Prevotella intermedia [chronic periodontitis],Prevotella intermedia
Tannerella forsythia [chronic periodontitis],Tannerella forsythia
Treponema denticola [chronic periodontitis],Treponema denticola
Enterococcus faecalis,Enterococcus faecalis
Pseudomonas aeruginosa,Pseudomonas aeruginosa
Eubacterium nodatum,Eubacterium nodatum
Parvimonas micra,Parvimonas micra
Prevotella nigrescens,Prevotella nigrescens
Leptotrichia buccalis,Leptotrichia buccalis
Selenomonas noxia,Selenomonas noxia
Synergistetes OTU 4.2,Synergistetes bacterium clone 4.2
Dialister pneumosintes,Dialister pneumosintes
Actinomyces israelii,Actinomyces israelii
Campylobacter showae,Campylobacter showae
Fusobacterium nucleatum ssp nucleatum,Fusobacterium nucleatum subsp. nucleatum
Fusobacterium nucleatum ssp polymorphum,Fusobacterium nucleatum subsp. polymorphum
Fusobacterium nucleatum ssp vincentii,Fusobacterium nucleatum subsp. vincentii
Fusobacterium periodonticum,Fusobacterium periodonticum
Streptococcus constellatus,Streptococcus constellatus
Streptococcus intermedius,Streptococcus intermedius
Streptococcus mitis,Streptococcus mitis
Streptococcus oralis,Streptococcus oralis
Treponema socranskii,Treponema socranskii
Actinomyces gerencseriae,Actinomyces gerencseriae
Micromonas micros,Parvimonas micra
Actinobacillus actinomycetemcomitans,Aggregatibacter actinomycetemcomitans
Peptostreptococcus spp.,Peptostreptococcus
Prevotella intermedia/nigrescens,Prevotella intermedia/nigrescens
Streptococcus anginosus group 3,Streptococcus anginosus group
Bacteroides forsythus,Tannerella forsythia
Fusobacterium nucleatum,Fusobacterium nucleatum
Fusobacterium alocis,Filifactor alocis
Eubacterium brachy,Eubacterium brachy
Spirochetes spp.,Spirochaetaceae
Anaeroglobus geminatus,Anaeroglobus geminatus
Bifidobacterium dentum,Bifidobacterium dentium
Eubacterium yuri subsp,Eubacterium yurii
Peptostreptococcus stomatis,Peptostreptococcus stomatis
Prevotella tannerae,Prevotella tannerae
Selenomonas dianae,Selenomonas dianae
Treponema amylovorum,Treponema amylovorum
Treponema maltophilum,Treponema maltophilum
Treponema socranskii subsp,Treponema socranskii subsp.
Treponema vincentii medium,Treponema vincentii
Aggregatibacter AY349380,Aggregatibacter sp. AY349380
Bacteroidales oral taxon 274,Bacteroidales bacterium oral taxon 274
Clostridiales MCE7 107,Clostridiales bacterium MCE7 107
Desulfobulbus R004,Desulfobulbus sp. R004
Fusobacterium oral taxon A71,Fusobacterium sp. oral taxon A71
Johnsonella CK051,Johnsonella sp. CK051
Lachnospiraceae JM048,Lachnospiraceae bacterium JM048
Leptotrichia EX103,Leptotrichia sp. EX103
Leptotrichia IK040,Leptotrichia sp. IK040
Leptotrichia oral taxon 210,Leptotrichia sp. oral taxon 210
Peptoniphilus oral taxon 113,Peptoniphilus sp. oral taxon 113
Prevotella genomosp P4,Prevotella genomosp. P4
Selenomonas EY047,Selenomonas sp. EY047
Shuttleworthia C1,Shuttleworthia satelles
Synergistes oral taxon 360 453,Synergistetes bacterium oral taxon 360/453
Synergistes oral taxon G36,Synergistetes bacterium oral taxon G36
TM7 401H12,Candidatus Saccharibacteria bacterium HMT 401H12
TM7 oral taxon 349,Candidatus Saccharibacteria bacterium oral taxon 349
TM7 oral taxon 437,Candidatus Saccharibacteria bacterium oral taxon 437
Treponema E D 05 72,Treponema sp. E D 05 72
Treponema E25 8,Treponema sp. E25 8
Treponema II C T1,Treponema sp. II C T1
Treponema oral taxon 230,Treponema sp. oral taxon 230
Veillonellaceae oral taxon 129,Veillonellaceae bacterium oral taxon 129
Veillonellaceae oral taxon 135,Veillonellaceae bacterium oral taxon 135
Achromobacter xylosoxidans _ot 343,Achromobacter xylosoxidans oral taxon 343
Actinomyces gerencseriae _ot 618,Actinomyces gerencseriae oral taxon 618
Actinomyces johnsonii _ot 849,Actinomyces johnsonii oral taxon 849
Actinomyces massiliensis _ot 852,Actinomyces massiliensis oral taxon 852
Actinomyces sp _ot 171,Actinomyces sp. oral taxon 171
Aggregatibacter aphrophilus _ot 545,Aggregatibacter aphrophilus oral taxon 545
Capnocytophaga granulosa _ot 325,Capnocytophaga granulosa oral taxon 325
Capnocytophaga leadbetteri _ot 329,Capnocytophaga leadbetteri oral taxon 329
Capnocytophaga sp _ot 338,Capnocytophaga sp. oral taxon 338
Cardiobacterium hominis _ot 633,Cardiobacterium hominis oral taxon 633
Comamonas testosteroni _ot 858,Comamonas testosteroni oral taxon 858
Corynebacterium durum _ot 595,Corynebacterium durum oral taxon 595
GNO2 [G-1] sp _ot 871,GNO2 [G-1] bacterium oral taxon 871
GNO2 [G-1] sp _ot 872,GNO2 [G-1] bacterium oral taxon 872
Kingella denitrificans _ot 582,Kingella denitrificans oral taxon 582
Leptotrichia goodfellowii _ot 845,Leptotrichia goodfellowii oral taxon 845
Leptotrichia sp _ot 212,Leptotrichia sp. oral taxon 212
Leptotrichia sp _ot 879,Leptotrichia sp. oral taxon 879
Neisseria elongata _ot 598,Neisseria elongata oral taxon 598
Porphyromonas catoniae _ot 283,Porphyromonas catoniae oral taxon 283
Ralstonia pickettii _ot 854,Ralstonia pickettii oral taxon 854
TM7 [G-1] sp _ot 352,Candidatus Saccharibacteria bacterium oral taxon 352
Actinobacteria,Actinobacteriota
Firmicutes,Firmicutes
Proteobacteria,Proteobacteria
Atopobium parvulum,Atopobium parvulum
Atopobium rimae,Atopobium rimae
Bacteroidetes clone BU063,Bacteroidetes bacterium clone BU063
Corynebacterium matruchotii,Corynebacterium matruchotii
Deferribacteres clone W090,Deferribacteres bacterium clone W090
Actinomyces naeslundii,Actinomyces naeslundii
Capnocytophaga gingivalis,Capnocytophaga gingivalis
Actinomyces naeslundii 1,Actinomyces naeslundii
Capnocytophaga ochracea,Capnocytophaga ochracea
Capnocytophaga sputigena,Capnocytophaga sputigena
Eubacterium saburreum,Eubacterium saburreum
Propionibacterium acnes,Cutibacterium acnes
Streptococcus anginosus,Streptococcus anginosus
Streptococcus gordonii,Streptococcus gordonii
Streptococcus sanguinis,Streptococcus sanguinis
Veillonella parvula,Veillonella parvula
Eubacterium spp.,Eubacterium spp.
Streptococcus sanguis,Streptococcus sanguinis
Acinetobacter junii,Acinetobacter junii
Acinetobacter sp. RUH11391,Acinetobacter sp. RUH11391
Actinomyces massiliensis,Actinomyces massiliensis
Actinomyces oral taxon 171,Actinomyces sp. oral taxon 171
Actinomyces viscous naeslundii,Actinomyces naeslundii
Arthrobacter woluwensis,Arthrobacter woluwensis
Brachybacterium rhamnosum,Brachybacterium rhamnosum
Comamonadaceae 98-63833,Comamonadaceae bacterium 98-63833
Comamonadaceae VE3A04I,Comamonadaceae bacterium VE3A04I
Comamonadaceae nbu379c11c1,Comamonadaceae bacterium nbu379c11c1
Gemella morbillorum,Gemella morbillorum
Granulicatella adiacens,Granulicatella adiacens
Haemophilus P3D1 620,Haemophilus sp. P3D1 620
Haemophilus parahaemolyticus,Haemophilus parahaemolyticus
Lautropia AP009,Lautropia sp. AP009
Lautropia mirabilis,Lautropia mirabilis
Moraxella osloensis,Moraxella osloensis
Rothia aeria,Rothia aeria
Streptococcus mitis pneumoniae,Streptococcus pneumoniae
Streptococcus oral taxon B66,Streptococcus sp. oral taxon B66
