row,original_name,ncbi_name
1,Fusobacterium nucleatum spp. nucleatum,Fusobacterium nucleatum subsp. nucleatum
2,Fusobacterium nucleatum spp. polymorphum,Fusobacterium nucleatum subsp. polymorphum
3,Anaeroglobus geminatus HOT 121,Anaeroglobus geminatus
4,Bacteroidales [G-2] sp HOT 274,uncultured Bacteroidales bacterium
5,Bacteroidetes [G-5] unclassified,uncultured Bacteroidetes bacterium
6,Desulfobulbus sp HOT 041,Desulfobulbus sp.
7,Dialister invisus HOT 118,Dialister invisus
8,Eubacterium [XI][G-3] brachy HOT 557,Eubacterium brachy
9,Eubacterium [XI][G-5] saphenum HOT 759,Eubacterium saphenum
10,Eubacterium [XI][G-6] unclassified,uncultured Eubacterium sp.
11,Filifactor alocis HOT 539,Filifactor alocis
12,Fretibacterium fastidiosum HOT 363,Fretibacterium fastidiosum
13,Fretibacterium unclassified,uncultured Fretibacterium sp.
14,Fusobacterium unclassified,uncultured Fusobacterium sp.
15,Johnsonella sp HOT 166,Johnsonella ignava
16,Lachnospiraceae [G-8] sp HOT 500,uncultured Lachnospiraceae bacterium
17,Leptotrichiaceae [G-1] sp HOT 210,uncultured Leptotrichiaceae bacterium
18,Parvimonas micra HOT 111,Parvimonas micra
19,Peptococcus sp HOT 167,Peptococcus niger
20,Peptostreptococcaceae [XI][G-4] unclassified,uncultured Peptostreptococcaceae bacterium
21,Peptostreptococcaceae [XIII][G-1] sp HOT 113,uncultured Peptostreptococcaceae bacterium
22,Porphyromonas endodontalis HOT 273,Porphyromonas endodontalis
23,Porphyromonas gingivalis HOT 619,Porphyromonas gingivalis
24,Prevotella sp HOT 304,uncultured Prevotella sp.
25,Prevotella sp HOT 526,uncultured Prevotella sp.
26,Selenomonas sputigena HOT 151,Selenomonas sputigena
27,Tannerella forsythia HOT 613,Tannerella forsythia
28,TM7 [G-4] sp HOT 355,Candidatus Saccharimonadota bacterium
29,Treponema denticola HOT 584,Treponema denticola
30,Treponema socranskii HOT 769,Treponema socranskii
31,Treponema sp HOT 258,uncultured Treponema sp.
32,Treponema unclassified,uncultured Treponema sp.
33,Veillonellaceae [G-1] unclassified,uncultured Veillonellaceae bacterium
34,Bacteroides denticanum,Bacteroides denticanum
35,cerevisiiphilus,uncultured bacterium
36,Desulfobulbus HOT.041,Desulfobulbus sp.
37,Eubacterium [XI][G-3] brachy,Eubacterium brachy
38,Eubacterium [XI][G-5] saphenum,Eubacterium saphenum
39,Eubacterium [XI][G-6] nodatum,Eubacterium nodatum
40,Fretibacterium HOT.358,uncultured Fretibacterium sp.
41,Fretibacterium HOT.361,uncultured Fretibacterium sp.
42,Fretibacterium HOT.362,uncultured Fretibacterium sp.
43,Fretibacterium HOT.452,uncultured Fretibacterium sp.
44,Fusobacterium HOT.205,uncultured Fusobacterium sp.
