"","Family","Genus","Species","Species w/o duplicates","Species w/o duplicates - condensed","Species w/ numerical values","Genus w/ numerical values","Species w/ numerical values - condensed","New Genus Name","New Species Name","Notes"
"1",NA,NA,NA,NA,"nigrescens (509071)","nigrescens (509071)","TM7","TM7 401H12",NA,"401H12",NA
"2","Peptostreptococcaceae","Eubacterium [XI][G-6]","unclassified","unclassified","sp. (9837488)","sp. (9837488)","Campylobacter","Campylobacter concisus HOT575/Campylobacter rectus HOT748/X3",NA,"concisus",NA
"3","Peptostreptococcaceae","Filifactor","alocis HOT 539","alocis HOT 539","sp. (9837490)","sp. (9837490)","Campylobacter","Campylobacter curvus HOT580/Campylobacter rectus HOT748A",NA,"curvus",NA
"4","Synergistaceae","Fretibacterium","fastidiosum HOT 363","fastidiosum HOT 363","epidermidis (1199945)","epidermidis (1199945)","Campylobacter","Campylobacter curvus HOT580/Campylobacter rectus HOT748CA",NA,"rectus",NA
"5","Fusobacteriaceae","Fusobacterium","unclassified","unclassified","gordonii (2183315)","gordonii (2183315)","Catonella","Catonella morbi HOT165/Catonella sp. HOT164/056",NA,NA,NA
"6","Bacteroidaceae","Bacteroides","heparinolyticus","heparinolyticus","Tannerella forsythia",NA,"Peptostreptococcaceae","Peptostreptococcaceae 11 G4 spp. HOT103/369/AB49","Peptostreptococcaceae","bacterium HMT-103/369",NA
"7","Anaerolineaceae","Longilinea","arvoryzae","arvoryzae","Porphyromonas gingivalis HOT 619","Porphyromonas gingivalis HOT 619","Prevotella","Prevotella loescheii HOT658/Prevotella spp. HOT317/472/Y65","Hoylesella","loescheii",NA
"8","Peptostreptococcaceae","Mogibacterium","timidum",NA,"Tannerella forsythia HOT 613","Tannerella forsythia HOT 613","Selenomonas","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 A",NA,NA,NA
"9","Porphyromonadaceae","Odoribacter","denticanis","denticanis","TM7 sp. HOT 356","TM7 sp. HOT 356","Selenomonas","Selenomonas infelix HOT639/Selenomonas spp. HOT126/479/481 O",NA,NA,NA
"10","Pectinatus","cerevisiiphilus",NA,NA,"ochracea",NA,"Selenomonas","Selenomonas spp. HOT134/442/Y73",NA,NA,NA
"11","Peptoniphilaceae","Peptoniphilus","indolicus","indolicus","forsythia",NA,"Selenomonas","Selenomonas spp. HOT138/146/892/Q52","Selenomonas","timonae / sp. HMT-146 / sp. HMT-892","strain y73 vs q52 --> from same paper!"
"12","Porphyromonadaceae","Porphyromonas","gingivalis",NA,"rava HOT 302","rava HOT 302","TM7 G1 spp.","TM7 G1 spp. HOT346/347/AH43","TM7 [G-1]","bacterium HMT-346",NA
"13","Prevotellaceae","Prevotella","dentalis","dentalis","tannerae HOT 466","tannerae HOT 466","TM7 G1 spp.","TM7 G1 spp. HOT346/349/W85","TM7 [G-1]","bacterium HMT-346","straiin ah43 vs w85 --> from the same paper!"
"14","Spirochaetaceae","Treponema","medium","medium","yurii HOT 377","yurii HOT 377","Veillonella","Veillonellaceae G1 spp. HOT129/135/148/W86","Veillonellaceae ","bacterium HMT-129",NA
"15","Spirochaetaceae","Treponema","paraluiscuniculi","paraluiscuniculi","alocis HOT 539","alocis HOT 539","Veillonella","Veillonellaceae G1 spp. HOT129/150/AF97","Veillonellaceae ","bacterium HMT-129","what is w86 vs af97 --> from the same paper!"
